GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
3.71831E+11,107.1030502,125.5062408,86.04911041,181.7248077,0.512811065,-0.277855754,10,14.18421745,59.45869827,46015.61328,46316.19922,46787.64063,15233.36035,15301.26563,68.31364441,67.679245,85.88378143,83.84091187,82.93419647,80.55831909
3.71831E+11,106.2137909,123.8254852,84.72226715,183.6061554,0.551724136,-0.258554727,10,14.05455112,53.12031555,46327.91016,46409.95703,46992.53906,15236.5293,15276.41211,68.45426178,67.76022339,86.06604004,84.1296463,83.22459412,80.79976654
3.71831E+11,115.8035736,135.8998718,101.3283157,191.3199615,0.561872482,-0.190027252,10,22.32104301,61.01056671,46306.82813,46288.92969,46728.38281,15197.43359,15259.23242,67.66343689,67.15307617,87.42902374,84.36186981,82.67819214,80.17663574
3.71831E+11,111.3200836,132.1092377,94.76029205,192.2381134,0.558337808,-0.249333113,10,29.76774788,73.56415558,45943.90625,45880.11719,46453.74219,15165.40918,15212.30762,68.22112274,67.65911865,86.51042938,83.7904892,81.52879333,79.57015228
3.71831E+11,104.3949432,121.7629471,104.0282135,157.3215332,0.509584606,-0.241757393,10,17.47782707,53.26113129,46006.5625,46481.625,45912.61328,15231.0752,15299.70801,68.45468903,67.76839447,86.12038422,83.82044983,82.42409515,80.34841919
3.71831E+11,114.6476364,129.5985718,113.4266891,155.7837524,0.448414236,-0.205745578,10,32.15324783,45.67280197,45648.82422,46668.72266,44850.11328,15227.30176,15329.21777,68.28658295,67.61432648,86.08667755,84.22875214,83.21675873,81.01778412
3.71831E+11,121.3376389,135.894165,122.0039139,157.2409515,0.401210546,-0.18711777,10,41.50567627,49.98529434,44535.73047,46566.24609,46532.88672,15245.55273,15326.36523,69.15311432,68.4029541,86.04147339,84.20876312,83.67605591,81.49191284
3.71831E+11,109.6855621,119.794281,102.5930634,153.0080719,0.52317065,-0.246663988,10,24.96167564,44.21245193,45258.45703,46324.44141,46515.08594,15166.09082,15231.10938,68.50603485,67.85018158,86.31523132,84.33657074,83.66014862,81.16893768
3.71831E+11,106.4154053,122.6030502,102.3357849,168.9230652,0.549225807,-0.264357418,10,28.39605904,66.81389618,44284.66797,45785.25391,45219.31641,15128.60645,15134.60547,68.27446747,67.66044617,86.22071075,83.81550598,82.08958435,80.10257721
3.71831E+11,105.4502563,121.6450653,102.1291885,162.821991,0.521288693,-0.303589761,10,15.15719128,59.72037506,44478.16406,46423.66797,44211.82031,15221.0498,15271.85156,67.76399231,67.18582916,85.75354004,83.45796967,82.13031006,80.12047577
3.71831E+11,123.0484695,139.9717255,113.7612839,166.7423859,0.438492447,-0.191553712,10,29.88433266,48.32421112,47118.88281,47118.63672,46967.30078,15252.22461,15366.13965,69.01896667,68.20996094,86.06976318,84.30448151,83.18338013,81.12689209
